batch_id,lot_number,quantity,original_quantity,expiration_date,received_date,inventory_id
batch0001,LOT8421,52,98,2026-03-01,2026-03-05,inv0007
batch0002,LOT1932,67,120,2026-03-02,2026-03-08,inv0023
batch0003,LOT5578,43,85,2026-03-03,2026-03-06,inv0015
batch0004,LOT6612,78,135,2026-03-01,2026-03-10,inv0044
batch0005,LOT2291,61,110,2026-03-04,2026-03-09,inv0032
batch0006,LOT9043,49,95,2026-03-05,2026-03-07,inv0009
batch0007,LOT3187,55,102,2026-03-02,2026-03-06,inv0061
batch0008,LOT7765,83,145,2026-03-03,2026-03-12,inv0075
batch0009,LOT1459,91,155,2026-03-01,2026-03-11,inv0028
batch0010,LOT6824,88,148,2026-03-04,2026-03-13,inv0050
batch0011,LOT3921,48,92,2026-03-05,2026-03-09,inv0012
batch0012,LOT8743,66,118,2026-03-06,2026-03-11,inv0045
batch0013,LOT1287,35,80,2026-03-07,2026-03-10,inv0028
batch0014,LOT6632,72,140,2026-03-03,2026-03-13,inv0060
batch0015,LOT9451,59,105,2026-03-08,2026-03-12,inv0033
batch0016,LOT2819,44,88,2026-03-02,2026-03-07,inv0019
batch0017,LOT7003,83,150,2026-03-04,2026-03-14,inv0052
batch0018,LOT1129,61,110,2026-03-06,2026-03-10,inv0021
batch0019,LOT5392,76,135,2026-03-01,2026-03-09,inv0074
batch0020,LOT8840,91,160,2026-03-05,2026-03-15,inv0037
batch0021,LOT6638,38,75,2026-03-07,2026-03-11,inv0048
batch0022,LOT2491,57,102,2026-03-02,2026-03-08,inv0065
batch0023,LOT9982,69,120,2026-03-03,2026-03-09,inv0015
batch0024,LOT4720,85,155,2026-03-06,2026-03-16,inv0080
batch0025,LOT3104,62,108,2026-03-04,2026-03-10,inv0026
batch0026,LOT7781,47,90,2026-03-01,2026-03-06,inv0039
batch0027,LOT5612,54,99,2026-03-08,2026-03-12,inv0058
batch0028,LOT8893,73,132,2026-03-05,2026-03-13,inv0071
batch0029,LOT1476,60,107,2026-03-03,2026-03-09,inv0042
batch0030,LOT6925,82,145,2026-03-02,2026-03-14,inv0069
batch0031,LOT8342,50,100,2026-07-01,2026-03-01,inv0073
batch0032,LOT1298,60,110,2026-07-02,2026-03-02,inv0045
batch0033,LOT5567,45,90,2026-07-03,2026-03-03,inv0081
batch0034,LOT7781,70,120,2026-07-04,2026-03-01,inv0052
batch0035,LOT4423,65,115,2026-07-05,2026-03-02,inv0094
batch0036,LOT9902,55,100,2026-07-06,2026-03-03,inv0067
batch0037,LOT6734,60,105,2026-07-07,2026-03-01,inv0038
batch0038,LOT2156,75,130,2026-07-08,2026-03-02,inv0086
batch0039,LOT3891,80,140,2026-07-09,2026-03-03,inv0059
batch0040,LOT7412,90,150,2026-07-10,2026-03-01,inv0071
batch0041,LOT8620,50,100,2026-07-11,2026-03-02,inv0043
batch0042,LOT1345,60,110,2026-07-12,2026-03-03,inv0092
batch0043,LOT5782,45,90,2026-07-13,2026-03-01,inv0061
batch0044,LOT6903,70,120,2026-07-14,2026-03-02,inv0084
batch0045,LOT4477,65,115,2026-07-15,2026-03-03,inv0037
batch0046,LOT9011,55,100,2026-07-16,2026-03-01,inv0078
batch0047,LOT3328,60,105,2026-07-17,2026-03-02,inv0056
batch0048,LOT7755,75,130,2026-07-18,2026-03-03,inv0041
batch0049,LOT1189,80,140,2026-07-19,2026-03-01,inv0067
batch0050,LOT2567,90,150,2026-07-20,2026-03-02,inv0085
batch0051,LOT8890,50,100,2026-07-21,2026-03-03,inv0059
batch0052,LOT6612,60,110,2026-07-22,2026-03-01,inv0046
batch0053,LOT4733,45,90,2026-07-23,2026-03-02,inv0074
batch0054,LOT9024,70,120,2026-07-24,2026-03-03,inv0036
batch0055,LOT3188,65,115,2026-07-25,2026-03-01,inv0093
batch0056,LOT7459,55,100,2026-07-26,2026-03-02,inv0063
batch0057,LOT5521,60,105,2026-07-27,2026-03-03,inv0082
batch0058,LOT1994,75,130,2026-07-28,2026-03-01,inv0044
batch0059,LOT8643,80,140,2026-07-29,2026-03-02,inv0076
batch0060,LOT3772,90,150,2026-07-30,2026-03-03,inv0053
batch0061,LOT9155,50,100,2026-07-31,2026-03-01,inv0087
batch0062,LOT2486,60,110,2026-08-01,2026-03-02,inv0048
batch0063,LOT6801,45,90,2026-08-02,2026-03-03,inv0079
batch0064,LOT7319,70,120,2026-08-03,2026-03-01,inv0055
batch0065,LOT4022,65,115,2026-08-04,2026-03-02,inv0090
batch0066,LOT5538,55,100,2026-08-05,2026-03-03,inv0066
batch0067,LOT1677,60,105,2026-08-06,2026-03-01,inv0035
batch0068,LOT8899,75,130,2026-08-07,2026-03-02,inv0084
batch0069,LOT3204,80,140,2026-08-08,2026-03-03,inv0057
batch0070,LOT7741,90,150,2026-08-09,2026-03-01,inv0077
batch0071,LOT5931,50,100,2026-08-10,2026-03-02,inv0037
batch0072,LOT1284,60,110,2026-08-11,2026-03-03,inv0112
batch0073,LOT7740,45,90,2026-08-12,2026-03-01,inv0009
batch0074,LOT3327,70,120,2026-08-13,2026-03-02,inv0085
batch0075,LOT9056,65,115,2026-08-14,2026-03-03,inv0021
batch0076,LOT4819,55,100,2026-08-15,2026-03-01,inv0104
batch0077,LOT6672,60,105,2026-08-16,2026-03-02,inv0056
batch0078,LOT2195,75,130,2026-08-17,2026-03-03,inv0098
batch0079,LOT8403,80,140,2026-08-18,2026-03-01,inv0015
batch0080,LOT3571,90,150,2026-08-19,2026-03-02,inv0073
batch0081,LOT9184,50,100,2026-08-20,2026-03-03,inv0119
batch0082,LOT6027,60,110,2026-08-21,2026-03-01,inv0042
batch0083,LOT1459,45,90,2026-08-22,2026-03-02,inv0068
batch0084,LOT7733,70,120,2026-08-23,2026-03-03,inv0003
batch0085,LOT2668,65,115,2026-08-24,2026-03-01,inv0089
batch0086,LOT5092,55,100,2026-08-25,2026-03-02,inv0027
