inventory_id,quantity_available,last_updated,Ingredient_id
inv0001,104,2026-03-02,ing0078
inv0002,87,2026-03-05,ing0012
inv0003,132,2026-03-03,ing0105
inv0004,76,2026-03-07,ing0023
inv0005,91,2026-03-01,ing0091
inv0006,58,2026-03-06,ing0044
inv0007,66,2026-03-04,ing0117
inv0008,73,2026-03-08,ing0032
inv0009,109,2026-03-02,ing0069
inv0010,185,2026-03-01,ing0005
inv0011,47,2026-03-06,ing0083
inv0012,62,2026-03-09,ing0029
inv0013,59,2026-03-03,ing0112
inv0014,38,2026-03-07,ing0018
inv0015,42,2026-03-02,ing0120
inv0016,51,2026-03-10,ing0049
inv0017,57,2026-03-05,ing0061
inv0018,69,2026-03-08,ing0021
inv0019,72,2026-03-04,ing0097
inv0020,63,2026-03-01,ing0053
inv0021,77,2026-03-06,ing0087
inv0022,44,2026-03-02,ing0030
inv0023,98,2026-03-09,ing0114
inv0024,61,2026-03-03,ing0041
inv0025,70,2026-03-05,ing0093
inv0026,36,2026-03-07,ing0062
inv0027,85,2026-03-04,ing0019
inv0028,53,2026-03-08,ing0101
inv0029,64,2026-03-01,ing0037
inv0030,49,2026-03-06,ing0079
inv0031,92,2026-03-03,ing0055
inv0032,39,2026-03-10,ing0119
inv0033,83,2026-03-02,ing0022
inv0034,66,2026-03-07,ing0098
inv0035,55,2026-03-05,ing0046
inv0036,101,2026-03-01,ing0009
inv0037,46,2026-03-08,ing0116
inv0038,34,2026-03-04,ing0068
inv0039,59,2026-03-06,ing0013
inv0040,112,2026-03-02,ing0082
inv0041,178,2026-03-04,ing0105
inv0042,149,2026-03-02,ing0031
inv0043,133,2026-03-06,ing0072
inv0044,121,2026-03-01,ing0003
inv0045,115,2026-03-09,ing0110
inv0046,108,2026-03-05,ing0059
inv0047,96,2026-03-03,ing0026
inv0048,84,2026-03-07,ing0090
inv0049,73,2026-03-08,ing0048
inv0050,66,2026-03-02,ing0065
inv0051,61,2026-03-06,ing0010
inv0052,58,2026-03-04,ing0088
inv0053,46,2026-03-10,ing0034
inv0054,43,2026-03-01,ing0113
inv0055,37,2026-03-07,ing0076
inv0056,32,2026-03-05,ing0006
inv0057,28,2026-03-09,ing0108
inv0058,25,2026-03-03,ing0020
inv0059,69,2026-03-02,ing0052
inv0060,74,2026-03-08,ing0095
inv0061,52,2026-03-06,ing0061
inv0062,57,2026-03-01,ing0062
inv0063,63,2026-03-07,ing0063
inv0064,47,2026-03-03,ing0064
inv0065,51,2026-03-05,ing0065
inv0066,82,2026-03-02,ing0066
inv0067,71,2026-03-08,ing0067
inv0068,104,2026-03-04,ing0068
inv0069,93,2026-03-09,ing0069
inv0070,112,2026-03-01,ing0070
inv0071,118,2026-03-06,ing0071
inv0072,79,2026-03-02,ing0072
inv0073,74,2026-03-07,ing0073
inv0074,69,2026-03-05,ing0074
inv0075,86,2026-03-03,ing0075
inv0076,92,2026-03-08,ing0076
inv0077,66,2026-03-01,ing0077
inv0078,59,2026-03-04,ing0078
inv0079,72,2026-03-09,ing0079
inv0080,77,2026-03-02,ing0080
inv0081,53,2026-03-05,ing0081
inv0082,62,2026-03-07,ing0082
inv0083,56,2026-03-03,ing0083
inv0084,68,2026-03-06,ing0084
inv0085,73,2026-03-01,ing0085
inv0086,81,2026-03-08,ing0086
inv0087,76,2026-03-04,ing0087
inv0088,42,2026-03-09,ing0088
inv0089,34,2026-03-02,ing0089
inv0090,61,2026-03-05,ing0090
inv0091,31,2026-03-06,ing0091
inv0092,26,2026-03-03,ing0092
inv0093,22,2026-03-07,ing0093
inv0094,36,2026-03-01,ing0094
inv0095,63,2026-03-08,ing0095
inv0096,57,2026-03-04,ing0096
inv0097,52,2026-03-09,ing0097
inv0098,41,2026-03-02,ing0098
inv0099,205,2026-03-05,ing0099
inv0100,289,2026-03-01,ing0100
inv0101,97,2026-03-07,ing0101
inv0102,83,2026-03-03,ing0102
inv0103,71,2026-03-06,ing0103
inv0104,64,2026-03-02,ing0104
inv0105,55,2026-03-09,ing0105
inv0106,59,2026-03-04,ing0106
inv0107,67,2026-03-08,ing0107
inv0108,46,2026-03-01,ing0108
inv0109,33,2026-03-05,ing0109
inv0110,38,2026-03-02,ing0110
inv0111,61,2026-04-07,ing0111
inv0112,52,2026-03-03,ing0112
inv0113,47,2026-03-06,ing0113
inv0114,42,2026-03-01,ing0114
inv0115,36,2026-03-08,ing0115
inv0116,31,2026-04-04,ing0116
inv0117,58,2026-04-09,ing0117
inv0118,62,2026-05-02,ing0118
inv0119,66,2026-05-05,ing0119
inv0120,71,2026-05-03,ing0120
