MenuID,IngredientID,Quantity
mu0013,ing123,1.3
mu0031,ing002,2.1
mu0048,ing097,0.9
mu0053,ing051,3.5
mu0063,ing024,1.9
mu0041,ing003,3.8
mu0036,ing039,1.6
mu0056,ing082,3.4
mu0058,ing062,2.4
mu0033,ing119,4.3
mu0029,ing091,1.3
mu0006,ing011,2.3
mu0072,ing056,3.1
mu0072,ing088,1.9
mu0063,ing078,0.9
mu0047,ing089,2.2
mu0051,ing034,4.8
mu0008,ing084,4.6
mu0055,ing053,3.6
mu0028,ing110,0.6
mu0013,ing097,0.9
mu0018,ing118,3.9
mu0046,ing086,1.5
mu0049,ing016,2.8
mu0004,ing027,1.1
mu0003,ing090,4.3
mu0053,ing010,2.1
mu0070,ing117,1.4
mu0016,ing103,1.1
mu0037,ing092,2.1
mu0025,ing078,1.5
mu0007,ing102,3.3
mu0071,ing042,4.4
mu0012,ing090,4.6
mu0032,ing033,0.6
mu0033,ing022,2.5
mu0006,ing083,0.9
mu0032,ing098,2.8
mu0067,ing034,0.5
mu0009,ing054,2.1
mu0006,ing097,2
mu0009,ing007,3.5
mu0031,ing037,2.8
mu0025,ing060,1.9
mu0003,ing061,0.9
mu0073,ing003,2.4
mu0005,ing001,4.7
mu0020,ing015,0.5
mu0024,ing018,1.1
mu0004,ing034,2.4
mu0019,ing116,1.6
mu0039,ing094,1.4
mu0027,ing040,4.4
mu0021,ing121,1.2
mu0036,ing095,1.7
mu0010,ing085,1.2
mu0045,ing027,4
mu0065,ing112,3
mu0027,ing014,1.5
mu0069,ing009,5
mu0033,ing031,1.2
mu0031,ing065,4.3
mu0001,ing122,2.1
mu0023,ing033,2.9
mu0017,ing097,4.1
mu0005,ing082,2.9
mu0044,ing086,1.5
mu0072,ing052,1.5
mu0003,ing039,4.9
mu0024,ing090,2.5
mu0070,ing112,4.1
mu0052,ing093,1.7
mu0003,ing109,4.1
mu0035,ing079,0.7
mu0018,ing098,3.7
mu0030,ing123,3.9
mu0016,ing044,3.5
mu0008,ing023,3.6
mu0028,ing055,1
mu0060,ing057,4.3
mu0072,ing001,4.5
mu0043,ing105,0.8
mu0025,ing089,1.1
mu0066,ing028,4.5
mu0030,ing069,4.2
mu0021,ing118,4.6
mu0029,ing116,1.1
mu0018,ing065,0.6
mu0018,ing005,2.6
mu0056,ing005,3
mu0067,ing043,1.6
mu0013,ing113,1.2
mu0057,ing075,3.6
mu0064,ing069,2.2
mu0024,ing096,2.5
mu0014,ing015,3.3
mu0001,ing084,1.2
mu0073,ing099,3.3
mu0054,ing067,3.4
mu0004,ing043,1.8
mu0055,ing107,2.5
mu0049,ing062,3.4
mu0064,ing065,3.5
mu0028,ing030,1.3
mu0064,ing005,3.8
mu0039,ing001,3.5
mu0024,ing047,4.7
mu0044,ing087,4.4
mu0001,ing002,4.6
mu0052,ing076,4.5
mu0019,ing112,1.4
mu0029,ing076,4.7
mu0037,ing075,3.9
mu0016,ing063,3
mu0022,ing042,3.2
mu0051,ing007,4.4
mu0065,ing059,2.1
mu0075,ing125,1.6
mu0040,ing029,0.7
mu0005,ing116,2.5
mu0017,ing090,4.2
mu0012,ing103,4.9
mu0019,ing071,3.6
mu0035,ing113,1.9
mu0062,ing053,3
mu0054,ing115,1.7
mu0042,ing016,0.8
mu0010,ing026,0.7
mu0056,ing030,2.2
mu0007,ing055,2.4
mu0002,ing049,2.5
mu0024,ing015,0.7
mu0014,ing003,0.6
mu0011,ing069,4.7
mu0036,ing020,2.1
mu0033,ing033,0.7
mu0060,ing051,1.6
mu0028,ing060,3.5
mu0071,ing039,2.4
mu0005,ing041,4
mu0059,ing072,2.3
mu0006,ing052,2.4
mu0013,ing058,4.6
mu0005,ing092,3.2
mu0046,ing033,4.2
mu0055,ing118,4.7
mu0050,ing069,4.8
mu0020,ing102,3.6
mu0034,ing095,1.4
mu0055,ing018,4.9
mu0063,ing005,4.9
mu0010,ing054,3.6
mu0053,ing106,3.5
mu0032,ing048,1.2
mu0013,ing067,3.7
mu0053,ing032,1.6
mu0003,ing045,3.2
mu0048,ing111,3.1
mu0074,ing020,5
mu0015,ing070,2.3
mu0054,ing117,1.9
mu0017,ing019,4
mu0004,ing011,4.7
mu0017,ing044,2.6
mu0025,ing097,1
mu0006,ing100,3.9
mu0055,ing103,4.7
mu0003,ing081,3.7
mu0072,ing081,2.2
mu0066,ing050,1.8
mu0023,ing104,3.5
mu0040,ing027,2.5
mu0014,ing001,3.3
mu0019,ing048,1.4
mu0062,ing024,3.5
mu0052,ing061,3.4
mu0063,ing055,3.5
mu0030,ing060,4.4
mu0035,ing108,1.8
mu0012,ing101,0.9
mu0067,ing117,3.3
mu0014,ing050,2.7
mu0014,ing053,0.7
mu0052,ing075,4.1
mu0011,ing018,4.5
mu0032,ing020,2.5
mu0059,ing105,4.2
mu0045,ing090,0.7
mu0062,ing086,1.4
mu0006,ing088,3.3
mu0057,ing008,2.9
mu0066,ing055,4.7
mu0008,ing045,3.7
mu0061,ing006,4.4
mu0056,ing068,4
mu0013,ing078,2.5
mu0049,ing106,2.6
mu0073,ing106,2.3
mu0023,ing101,2.8
mu0002,ing080,4.9
mu0021,ing030,2.8
mu0055,ing096,4.7
mu0039,ing092,3.7
mu0024,ing040,4.4
mu0055,ing069,2.4
mu0004,ing076,4.6
mu0023,ing043,1.5
mu0022,ing033,0.7
mu0059,ing035,4
mu0062,ing022,3.9
mu0026,ing102,4.2
mu0020,ing124,2.5
mu0009,ing089,3.7
mu0007,ing029,3.4
mu0050,ing049,3.7
mu0041,ing094,1.7
mu0023,ing062,0.6
mu0074,ing004,5
mu0036,ing087,2.8
mu0047,ing019,3.9
mu0039,ing062,4.6
mu0055,ing048,4.6
mu0028,ing034,3.9
mu0061,ing112,2.5
mu0046,ing016,3
mu0015,ing010,2.4
mu0069,ing077,3.9
mu0062,ing042,2.7
mu0056,ing026,4.6
mu0019,ing095,2.1
mu0061,ing030,3.1
mu0001,ing114,4.9
mu0010,ing066,2.4
mu0038,ing011,3.3
mu0052,ing038,1.8
mu0068,ing018,4.3
mu0027,ing054,3.1
mu0024,ing028,4.3
mu0025,ing074,1.5
mu0008,ing021,1.9
mu0001,ing111,2.4
mu0069,ing070,0.7
mu0075,ing033,1.2
mu0045,ing076,3.7
mu0013,ing050,3.7
mu0002,ing013,1.2
mu0040,ing057,2.3
mu0063,ing098,2.5
mu0020,ing076,1.7
mu0070,ing057,1.2
mu0016,ing115,2.9
mu0053,ing048,3.3
mu0009,ing111,2.6
mu0012,ing051,4
mu0043,ing037,3.7
mu0018,ing111,3.3
mu0005,ing019,1.5
mu0025,ing098,1.3
mu0059,ing004,1.6
mu0047,ing030,4.4
mu0006,ing053,2.3
