order_id,menu_id,quantity,price
ord1065,mu0010,1,145.51
ord1130,mu0047,4,54.66
ord3134,mu0024,4,176.5
ord447,mu0058,1,67.92
ord1246,mu0069,3,105.14
ord98,mu0073,5,148.41
ord1969,mu0021,2,107.57
ord203,mu0039,4,94.23
ord4030,mu0061,5,152.85
ord87,mu0039,4,92.49
ord3420,mu0023,1,89.75
ord3268,mu0014,1,55.45
ord865,mu0038,1,104.55
ord680,mu0005,1,151.91
ord1484,mu0074,1,54.55
ord378,mu0071,4,187.74
ord4018,mu0028,3,28.02
ord2359,mu0002,3,71.07
ord1932,mu0059,4,50.13
ord726,mu0029,2,109.42
ord291,mu0021,2,138.97
ord1460,mu0045,3,179.33
ord3824,mu0057,2,33.89
ord3398,mu0063,4,101.1
ord1884,mu0053,3,165.4
ord1392,mu0034,3,22.76
ord3082,mu0052,2,159.29
ord3172,mu0058,2,183.55
ord1768,mu0044,1,59.31
ord3503,mu0022,4,112.24
ord1068,mu0062,2,182.87
ord2466,mu0061,1,96.08
ord514,mu0036,3,191.49
ord2895,mu0015,1,174.92
ord2102,mu0044,5,187.28
ord3985,mu0073,1,194.24
ord2707,mu0048,1,177.66
ord2435,mu0041,4,111.69
ord871,mu0036,5,185.02
ord2684,mu0033,1,77.37
ord3616,mu0010,1,50.87
ord4048,mu0062,2,86.83
ord2941,mu0017,3,124.55
ord3226,mu0075,4,89.36
ord1312,mu0003,4,184.5
ord1543,mu0074,3,37.28
ord141,mu0063,3,35.71
ord1241,mu0056,5,143.86
ord3299,mu0015,5,126.75
ord2433,mu0035,5,147.04
ord2628,mu0055,2,26.81
ord4003,mu0070,5,70.4
ord2574,mu0040,3,95.25
ord3416,mu0010,2,41.55
ord2438,mu0057,4,123.71
ord549,mu0059,2,56.74
ord2893,mu0031,3,171.72
ord1326,mu0038,3,74.09
ord1248,mu0010,3,199.75
ord3112,mu0035,5,116.54
ord1846,mu0010,3,37.08
ord2646,mu0035,5,192.43
ord3870,mu0066,1,149.56
ord123,mu0021,2,152.08
ord3960,mu0008,2,138.47
ord976,mu0067,3,145.46
ord3189,mu0073,4,87.3
ord1990,mu0016,3,152.21
ord1651,mu0006,1,132.11
ord2766,mu0023,5,182.76
ord2717,mu0073,5,141.82
ord568,mu0025,2,190
ord383,mu0035,4,101.63
ord2265,mu0004,1,122.91
ord3957,mu0059,3,125.77
ord823,mu0031,5,98.81
ord1451,mu0070,4,156.64
ord1006,mu0014,5,185.54
ord3589,mu0043,4,144.48
ord1460,mu0052,5,87.36
ord3484,mu0020,5,104.97
ord1569,mu0044,1,33.7
ord1646,mu0045,1,186.09
ord3729,mu0031,1,78.07
