order_id,datetime,status,order_type,amount,customer_id,product_id
ord1,2026-03-01 10:02:00,Completed,Dine-in,190.6,1,10033
ord2,2026-03-01 10:04:00,Completed,Delivery,166.12,2,10008
ord3,2026-03-01 10:06:00,Completed,Delivery,232.79,3,10016
ord4,2026-03-01 10:08:00,Completed,Dine-in,447.59,4,10014
ord5,2026-03-01 10:10:00,Completed,Takeaway,189.88,5,10003
ord6,2026-03-01 10:12:00,Completed,Dine-in,416.61,6,10002
ord7,2026-03-01 10:14:00,Pending,Takeaway,86.45,7,10024
ord8,2026-03-01 10:16:00,Completed,Delivery,209.35,8,10013
ord9,2026-03-01 10:18:00,Completed,Delivery,367.54,9,10007
ord10,2026-03-01 10:20:00,Completed,Delivery,334.43,10,10021
ord11,2026-03-01 10:22:00,Completed,Delivery,229.16,11,10002
ord12,2026-03-01 10:24:00,Completed,Takeaway,335.32,12,10015
ord13,2026-03-01 10:26:00,Completed,Dine-in,361.96,13,10014
ord14,2026-03-01 10:28:00,Pending,Delivery,393.35,14,10031
ord15,2026-03-01 10:30:00,Cancelled,Delivery,0,15,10022
ord16,2026-03-01 10:32:00,Completed,Delivery,290.33,16,10015
ord17,2026-03-01 10:34:00,Completed,Delivery,473.49,17,10025
ord18,2026-03-01 10:36:00,Completed,Dine-in,77.46,18,10023
ord19,2026-03-01 10:38:00,Completed,Delivery,71.02,19,10012
ord20,2026-03-01 10:40:00,Completed,Delivery,342.01,20,10012
ord21,2026-03-01 10:42:00,Pending,Dine-in,234.13,21,10014
ord22,2026-03-01 10:44:00,Completed,Dine-in,300,22,10001
ord23,2026-03-01 10:46:00,Completed,Takeaway,485.69,23,10014
ord24,2026-03-01 10:48:00,Pending,Takeaway,405.23,24,10018
ord25,2026-03-01 10:50:00,Completed,Dine-in,197.45,25,10009
ord26,2026-03-01 10:52:00,Completed,Dine-in,142.94,26,10011
ord27,2026-03-01 10:54:00,Completed,Delivery,416.71,27,10026
ord28,2026-03-01 10:56:00,Completed,Takeaway,324.06,28,10001
ord29,2026-03-01 10:58:00,Cancelled,Takeaway,0,29,10032
ord30,2026-03-01 11:00:00,Pending,Takeaway,119.96,30,10034
ord31,2026-03-01 11:02:00,Completed,Dine-in,192.49,31,10036
ord32,2026-03-01 11:04:00,Completed,Takeaway,364.86,32,10016
ord33,2026-03-01 11:06:00,Completed,Takeaway,311.58,33,10023
ord34,2026-03-01 11:08:00,Completed,Delivery,78.68,34,10015
ord35,2026-03-01 11:10:00,Completed,Dine-in,290.63,35,10002
ord36,2026-03-01 11:12:00,Cancelled,Dine-in,0,36,10021
ord37,2026-03-01 11:14:00,Pending,Dine-in,270.42,37,10035
ord38,2026-03-01 11:16:00,Completed,Dine-in,116.76,38,10017
ord39,2026-03-01 11:18:00,Completed,Dine-in,233.86,39,10029
ord40,2026-03-01 11:20:00,Completed,Delivery,134.76,40,10020
ord41,2026-03-01 11:22:00,Pending,Takeaway,341.92,41,10002
ord42,2026-03-01 11:24:00,Pending,Dine-in,128.92,42,10017
ord43,2026-03-01 11:26:00,Pending,Delivery,338.38,43,10026
ord44,2026-03-01 11:28:00,Completed,Takeaway,366.6,44,10021
ord45,2026-03-01 11:30:00,Completed,Takeaway,160.08,45,10029
ord46,2026-03-01 11:32:00,Completed,Dine-in,482.7,46,10036
ord47,2026-03-01 11:34:00,Completed,Dine-in,168.09,47,10020
ord48,2026-03-01 11:36:00,Cancelled,Dine-in,0,48,10021
ord49,2026-03-01 11:38:00,Completed,Dine-in,160.77,49,10021
ord50,2026-03-01 11:40:00,Pending,Takeaway,54.51,50,10011
ord51,2026-03-01 11:42:00,Completed,Dine-in,167.39,51,10009
ord52,2026-03-01 11:44:00,Completed,Takeaway,449.44,52,10025
ord53,2026-03-01 11:46:00,Completed,Takeaway,153.71,53,10032
ord54,2026-03-01 11:48:00,Completed,Delivery,211.51,54,10016
ord55,2026-03-01 11:50:00,Completed,Delivery,164.45,55,10028
ord56,2026-03-01 11:52:00,Completed,Dine-in,191.61,56,10019
ord57,2026-03-01 11:54:00,Completed,Dine-in,223.1,57,10032
ord58,2026-03-01 11:56:00,Completed,Dine-in,239.99,58,10009
ord59,2026-03-01 11:58:00,Completed,Takeaway,472.8,59,10034
ord60,2026-03-01 12:00:00,Pending,Dine-in,150.13,60,10001
ord61,2026-03-01 12:02:00,Completed,Delivery,215.91,61,10011
ord62,2026-03-01 12:04:00,Completed,Delivery,143.64,62,10026
ord63,2026-03-01 12:06:00,Completed,Dine-in,527.68,63,10011
ord64,2026-03-01 12:08:00,Completed,Delivery,449.69,64,10010
ord65,2026-03-01 12:10:00,Completed,Takeaway,510.39,65,10004
ord66,2026-03-01 12:12:00,Completed,Dine-in,336.38,66,10035
ord67,2026-03-01 12:14:00,Pending,Takeaway,334.59,67,10017
ord68,2026-03-01 12:16:00,Completed,Dine-in,50.48,68,10006
ord69,2026-03-01 12:18:00,Completed,Takeaway,294.01,69,10017
ord70,2026-03-01 12:20:00,Completed,Delivery,128.59,70,10029
ord71,2026-03-01 12:22:00,Completed,Delivery,103.55,71,10020
ord72,2026-03-01 12:24:00,Pending,Dine-in,70.5,72,10005
ord73,2026-03-01 12:26:00,Completed,Takeaway,222.9,73,10016
ord74,2026-03-01 12:28:00,Completed,Delivery,493.99,74,10020
ord75,2026-03-01 12:30:00,Completed,Delivery,95.26,75,10013
ord76,2026-03-01 12:32:00,Completed,Dine-in,129.93,76,10003
ord77,2026-03-01 12:34:00,Completed,Dine-in,215.11,77,10018
ord78,2026-03-01 12:36:00,Pending,Takeaway,248.35,78,10031
ord79,2026-03-01 12:38:00,Completed,Delivery,395.15,79,10031
ord80,2026-03-01 12:40:00,Completed,Delivery,429.36,80,10011
ord81,2026-03-01 12:42:00,Pending,Dine-in,121.27,81,10016
ord82,2026-03-01 12:44:00,Completed,Delivery,177.71,82,10025
ord83,2026-03-01 12:46:00,Completed,Delivery,285.9,83,10036
ord84,2026-03-01 12:48:00,Completed,Delivery,128.94,84,10019
ord85,2026-03-01 12:50:00,Cancelled,Delivery,0,85,10019
ord86,2026-03-01 12:52:00,Completed,Takeaway,117.65,86,10022
ord87,2026-03-01 12:54:00,Completed,Takeaway,395.4,87,10033
ord88,2026-03-01 12:56:00,Completed,Takeaway,467.64,88,10005
ord89,2026-03-01 12:58:00,Completed,Takeaway,135.24,89,10030
ord90,2026-03-01 13:00:00,Completed,Dine-in,178.37,90,10005
ord91,2026-03-01 13:02:00,Completed,Dine-in,364.6,91,10016
ord92,2026-03-01 13:04:00,Cancelled,Takeaway,0,92,10033
ord93,2026-03-01 13:06:00,Completed,Dine-in,409.22,93,10027
ord94,2026-03-01 13:08:00,Completed,Delivery,411.9,94,10013
ord95,2026-03-01 13:10:00,Completed,Delivery,210.75,95,10004
ord96,2026-03-01 13:12:00,Cancelled,Delivery,0,96,10010
ord97,2026-03-01 13:14:00,Pending,Delivery,310.42,97,10016
ord98,2026-03-01 13:16:00,Completed,Takeaway,179.09,98,10015
ord99,2026-03-01 13:18:00,Completed,Delivery,258.75,99,10007
ord100,2026-03-01 13:20:00,Completed,Takeaway,196.91,100,10018
ord101,2026-03-01 13:22:00,Completed,Dine-in,508.57,101,10023
ord102,2026-03-01 13:24:00,Completed,Takeaway,160.42,102,10033
ord103,2026-03-01 13:26:00,Completed,Delivery,416.28,103,10021
ord104,2026-03-01 13:28:00,Completed,Dine-in,318.51,104,10014
ord105,2026-03-01 13:30:00,Completed,Takeaway,337.27,105,10016
ord106,2026-03-01 13:32:00,Cancelled,Takeaway,0,106,10027
ord107,2026-03-01 13:34:00,Completed,Takeaway,386.86,107,10013
ord108,2026-03-01 13:36:00,Completed,Takeaway,444.65,108,10015
ord109,2026-03-01 13:38:00,Completed,Takeaway,324.79,109,10001
ord110,2026-03-01 13:40:00,Completed,Takeaway,43.26,110,10016
ord111,2026-03-01 13:42:00,Completed,Delivery,491.79,111,10016
ord112,2026-03-01 13:44:00,Completed,Takeaway,264.12,112,10027
ord113,2026-03-01 13:46:00,Cancelled,Takeaway,0,113,10002
ord114,2026-03-01 13:48:00,Completed,Dine-in,409.54,114,10001
ord115,2026-03-01 13:50:00,Completed,Dine-in,228.84,115,10014
ord116,2026-03-01 13:52:00,Completed,Delivery,147.74,116,10013
ord117,2026-03-01 13:54:00,Cancelled,Delivery,0,117,10011
ord118,2026-03-01 13:56:00,Completed,Delivery,386.02,118,10036
ord119,2026-03-01 13:58:00,Completed,Delivery,78.35,119,10032
ord120,2026-03-01 14:00:00,Completed,Takeaway,304.08,120,10012
ord121,2026-03-01 14:02:00,Cancelled,Takeaway,0,121,10011
ord122,2026-03-01 14:04:00,Completed,Dine-in,318.14,122,10036
ord123,2026-03-01 14:06:00,Pending,Dine-in,494.4,123,10023
ord124,2026-03-01 14:08:00,Completed,Takeaway,87.68,124,10006
ord125,2026-03-01 14:10:00,Completed,Dine-in,215.88,125,10004
ord126,2026-03-01 14:12:00,Completed,Delivery,456.39,126,10006
ord127,2026-03-01 14:14:00,Completed,Takeaway,388.44,127,10035
ord128,2026-03-01 14:16:00,Completed,Takeaway,348.94,128,10001
ord129,2026-03-01 14:18:00,Cancelled,Takeaway,0,129,10025
ord130,2026-03-01 14:20:00,Completed,Delivery,423.53,130,10024
ord131,2026-03-01 14:22:00,Pending,Takeaway,272.29,131,10033
ord132,2026-03-01 14:24:00,Completed,Delivery,220.48,132,10015
ord133,2026-03-01 14:26:00,Completed,Delivery,502.26,133,10023
ord134,2026-03-01 14:28:00,Completed,Dine-in,333.2,134,10025
ord135,2026-03-01 14:30:00,Completed,Takeaway,113.87,135,10006
ord136,2026-03-01 14:32:00,Pending,Delivery,454.55,136,10029
ord137,2026-03-01 14:34:00,Pending,Dine-in,525.38,137,10033
ord138,2026-03-01 14:36:00,Completed,Delivery,104.17,138,10004
ord139,2026-03-01 14:38:00,Completed,Delivery,247.39,139,10007
ord140,2026-03-01 14:40:00,Completed,Delivery,522.39,140,10004
ord141,2026-03-01 14:42:00,Completed,Dine-in,379.65,141,10021
ord142,2026-03-01 14:44:00,Completed,Dine-in,470.59,142,10011
ord143,2026-03-01 14:46:00,Completed,Takeaway,84.61,143,10026
ord144,2026-03-01 14:48:00,Completed,Delivery,87.91,144,10004
ord145,2026-03-01 14:50:00,Completed,Delivery,100.15,145,10020
ord146,2026-03-01 14:52:00,Completed,Dine-in,46.06,146,10012
ord147,2026-03-01 14:54:00,Completed,Takeaway,51.7,147,10014
ord148,2026-03-01 14:56:00,Completed,Delivery,367.98,148,10031
