payment_id,payment_method,paid_at,amount,payment_status,order_id
P1,QR Payment,2026-03-01 10:02:00,190.6,Paid,ord1
P2,Cash,2026-03-24 11:30:55,166.12,Pending,ord2
P3,Credit Card,2026-03-01 10:06:00,232.79,Paid,ord3
P4,Cash,2026-03-01 10:08:00,447.59,Paid,ord4
P5,Credit Card,2026-03-24 11:30:55,189.88,Pending,ord5
P6,Credit Card,2026-03-01 10:12:00,416.61,Paid,ord6
P7,QR Payment,2026-03-01 10:14:00,86.45,Paid,ord7
P8,Credit Card,2026-03-01 10:16:00,209.35,Paid,ord8
P9,QR Payment,2026-03-01 10:18:00,0,Failed,ord9
P10,Cash,2026-03-01 10:20:00,334.43,Paid,ord10
P11,Credit Card,2026-03-01 10:22:00,229.16,Paid,ord11
P12,QR Payment,2026-03-01 10:24:00,335.32,Paid,ord12
P13,QR Payment,2026-03-01 10:26:00,361.96,Paid,ord13
P14,QR Payment,2026-03-01 10:28:00,393.35,Paid,ord14
P15,Cash,2026-03-01 10:30:00,0,Paid,ord15
P16,Cash,2026-03-01 10:32:00,290.33,Paid,ord16
P17,QR Payment,2026-03-01 10:34:00,473.49,Paid,ord17
P18,Cash,2026-03-01 10:36:00,77.46,Paid,ord18
P19,Cash,2026-03-01 10:38:00,71.02,Paid,ord19
P20,QR Payment,2026-03-01 10:40:00,342.01,Paid,ord20
P21,QR Payment,2026-03-01 10:42:00,234.13,Paid,ord21
P22,Credit Card,2026-03-01 10:44:00,300,Paid,ord22
P23,QR Payment,2026-03-01 10:46:00,0,Failed,ord23
P24,Credit Card,2026-03-01 10:48:00,405.23,Paid,ord24
P25,Credit Card,2026-03-01 10:50:00,0,Failed,ord25
P26,Cash,2026-03-01 10:52:00,142.94,Paid,ord26
P27,QR Payment,2026-03-01 10:54:00,416.71,Paid,ord27
P28,Cash,2026-03-01 10:56:00,324.06,Paid,ord28
P29,Cash,2026-03-01 10:58:00,0,Paid,ord29
P30,Credit Card,2026-03-24 11:30:55,119.96,Pending,ord30
P31,QR Payment,2026-03-24 11:30:55,192.49,Pending,ord31
P32,Cash,2026-03-01 11:04:00,364.86,Paid,ord32
P33,Credit Card,2026-03-01 11:06:00,311.58,Paid,ord33
P34,Cash,2026-03-01 11:08:00,78.68,Paid,ord34
P35,Credit Card,2026-03-01 11:10:00,290.63,Paid,ord35
P36,Credit Card,2026-03-01 11:12:00,0,Failed,ord36
P37,Credit Card,2026-03-01 11:14:00,270.42,Paid,ord37
P38,QR Payment,2026-03-01 11:16:00,0,Failed,ord38
P39,QR Payment,2026-03-01 11:18:00,233.86,Paid,ord39
P40,Cash,2026-03-01 11:20:00,134.76,Paid,ord40
P41,Cash,2026-03-01 11:22:00,0,Failed,ord41
P42,QR Payment,2026-03-24 11:30:55,128.92,Pending,ord42
P43,Credit Card,2026-03-01 11:26:00,338.38,Paid,ord43
P44,Credit Card,2026-03-01 11:28:00,366.6,Paid,ord44
P45,Credit Card,2026-03-01 11:30:00,160.08,Paid,ord45
P46,QR Payment,2026-03-01 11:32:00,482.7,Paid,ord46
P47,QR Payment,2026-03-01 11:34:00,168.09,Paid,ord47
P48,Credit Card,2026-03-01 11:36:00,0,Paid,ord48
P49,Cash,2026-03-24 11:30:55,160.77,Pending,ord49
P50,QR Payment,2026-03-01 11:40:00,54.51,Paid,ord50
P51,Cash,2026-03-01 11:42:00,167.39,Paid,ord51
P52,Credit Card,2026-03-01 11:44:00,449.44,Paid,ord52
P53,QR Payment,2026-03-01 11:46:00,0,Failed,ord53
P54,QR Payment,2026-03-01 11:48:00,0,Failed,ord54
P55,Credit Card,2026-03-24 11:30:55,164.45,Pending,ord55
P56,Cash,2026-03-01 11:52:00,191.61,Paid,ord56
P57,QR Payment,2026-03-01 11:54:00,223.1,Paid,ord57
P58,QR Payment,2026-03-01 11:56:00,239.99,Paid,ord58
P59,Cash,2026-03-01 11:58:00,472.8,Paid,ord59
P60,Credit Card,2026-03-24 11:30:55,150.13,Pending,ord60
P61,QR Payment,2026-03-01 12:02:00,215.91,Paid,ord61
P62,Cash,2026-03-01 12:04:00,143.64,Paid,ord62
P63,Cash,2026-03-24 11:30:55,527.68,Pending,ord63
P64,Cash,2026-03-01 12:08:00,449.69,Paid,ord64
P65,QR Payment,2026-03-01 12:10:00,510.39,Paid,ord65
P66,Credit Card,2026-03-01 12:12:00,336.38,Paid,ord66
P67,Cash,2026-03-24 11:30:55,334.59,Pending,ord67
P68,Cash,2026-03-01 12:16:00,50.48,Paid,ord68
P69,Credit Card,2026-03-01 12:18:00,0,Failed,ord69
P70,Credit Card,2026-03-01 12:20:00,128.59,Paid,ord70
P71,QR Payment,2026-03-01 12:22:00,103.55,Paid,ord71
P72,Credit Card,2026-03-01 12:24:00,70.5,Paid,ord72
P73,Cash,2026-03-01 12:26:00,222.9,Paid,ord73
P74,Credit Card,2026-03-01 12:28:00,493.99,Paid,ord74
P75,Cash,2026-03-01 12:30:00,95.26,Paid,ord75
P76,QR Payment,2026-03-01 12:32:00,0,Failed,ord76
P77,Credit Card,2026-03-01 12:34:00,215.11,Paid,ord77
P78,Credit Card,2026-03-01 12:36:00,248.35,Paid,ord78
P79,Credit Card,2026-03-24 11:30:55,395.15,Pending,ord79
P80,Credit Card,2026-03-01 12:40:00,429.36,Paid,ord80
P81,Cash,2026-03-01 12:42:00,121.27,Paid,ord81
P82,Credit Card,2026-03-01 12:44:00,177.71,Paid,ord82
P83,Cash,2026-03-01 12:46:00,285.9,Paid,ord83
P84,Credit Card,2026-03-01 12:48:00,128.94,Paid,ord84
P85,Credit Card,2026-03-01 12:50:00,0,Paid,ord85
P86,QR Payment,2026-03-01 12:52:00,117.65,Paid,ord86
P87,QR Payment,2026-03-01 12:54:00,395.4,Paid,ord87
P88,Cash,2026-03-01 12:56:00,467.64,Paid,ord88
P89,Credit Card,2026-03-24 11:30:55,135.24,Pending,ord89
P90,Credit Card,2026-03-24 11:30:55,178.37,Pending,ord90
P91,Credit Card,2026-03-01 13:02:00,364.6,Paid,ord91
P92,Credit Card,2026-03-01 13:04:00,0,Paid,ord92
P93,QR Payment,2026-03-01 13:06:00,409.22,Paid,ord93
P94,Cash,2026-03-24 11:30:55,411.9,Pending,ord94
P95,QR Payment,2026-03-01 13:10:00,210.75,Paid,ord95
P96,QR Payment,2026-03-01 13:12:00,0,Paid,ord96
P97,QR Payment,2026-03-01 13:14:00,310.42,Paid,ord97
P98,Cash,2026-03-01 13:16:00,0,Failed,ord98
P99,Cash,2026-03-01 13:18:00,0,Failed,ord99
P100,Cash,2026-03-01 13:20:00,196.91,Paid,ord100
P101,Cash,2026-03-01 13:22:00,508.57,Paid,ord101
P102,Credit Card,2026-03-01 13:24:00,160.42,Paid,ord102
P103,Cash,2026-03-01 13:26:00,416.28,Paid,ord103
P104,QR Payment,2026-03-01 13:28:00,318.51,Paid,ord104
P105,Credit Card,2026-03-01 13:30:00,337.27,Paid,ord105
P106,QR Payment,2026-03-01 13:32:00,0,Paid,ord106
P107,Credit Card,2026-03-24 11:30:55,386.86,Pending,ord107
P108,Cash,2026-03-01 13:36:00,444.65,Paid,ord108
P109,QR Payment,2026-03-01 13:38:00,324.79,Paid,ord109
P110,QR Payment,2026-03-01 13:40:00,43.26,Paid,ord110
P111,Cash,2026-03-01 13:42:00,491.79,Paid,ord111
P112,Cash,2026-03-01 13:44:00,264.12,Paid,ord112
P113,QR Payment,2026-03-01 13:46:00,0,Paid,ord113
P114,Credit Card,2026-03-01 13:48:00,0,Failed,ord114
P115,QR Payment,2026-03-01 13:50:00,228.84,Paid,ord115
P116,Credit Card,2026-03-24 11:30:55,147.74,Pending,ord116
P117,QR Payment,2026-03-01 13:54:00,0,Paid,ord117
P118,Credit Card,2026-03-01 13:56:00,386.02,Paid,ord118
P119,Cash,2026-03-01 13:58:00,78.35,Paid,ord119
P120,Credit Card,2026-03-01 14:00:00,304.08,Paid,ord120
P121,QR Payment,2026-03-01 14:02:00,0,Paid,ord121
P122,Credit Card,2026-03-24 11:30:55,318.14,Pending,ord122
P123,QR Payment,2026-03-01 14:06:00,494.4,Paid,ord123
P124,Cash,2026-03-01 14:08:00,87.68,Paid,ord124
P125,QR Payment,2026-03-01 14:10:00,215.88,Paid,ord125
P126,Cash,2026-03-01 14:12:00,456.39,Paid,ord126
P127,Cash,2026-03-01 14:14:00,388.44,Paid,ord127
P128,Credit Card,2026-03-01 14:16:00,348.94,Paid,ord128
P129,Cash,2026-03-01 14:18:00,0,Paid,ord129
P130,Credit Card,2026-03-01 14:20:00,0,Failed,ord130
P131,Cash,2026-03-01 14:22:00,272.29,Paid,ord131
P132,QR Payment,2026-03-01 14:24:00,220.48,Paid,ord132
P133,QR Payment,2026-03-01 14:26:00,502.26,Paid,ord133
P134,Credit Card,2026-03-24 11:30:55,333.2,Pending,ord134
P135,QR Payment,2026-03-01 14:30:00,113.87,Paid,ord135
P136,QR Payment,2026-03-01 14:32:00,454.55,Paid,ord136
P137,Cash,2026-03-01 14:34:00,0,Failed,ord137
P138,Credit Card,2026-03-01 14:36:00,104.17,Paid,ord138
P139,Credit Card,2026-03-01 14:38:00,0,Failed,ord139
P140,Credit Card,2026-03-01 14:40:00,522.39,Paid,ord140
P141,QR Payment,2026-03-01 14:42:00,379.65,Paid,ord141
P142,Credit Card,2026-03-01 14:44:00,470.59,Paid,ord142
P143,Cash,2026-03-01 14:46:00,84.61,Paid,ord143
P144,Credit Card,2026-03-01 14:48:00,87.91,Paid,ord144
P145,Cash,2026-03-01 14:50:00,100.15,Paid,ord145
P146,Credit Card,2026-03-01 14:52:00,46.06,Paid,ord146
P147,Credit Card,2026-03-24 11:30:55,51.7,Pending,ord147
P148,QR Payment,2026-03-01 14:56:00,367.98,Paid,ord148
P149,Credit Card,2026-03-24 11:30:55,174.06,Pending,ord149
P150,Credit Card,2026-03-01 15:00:00,430.43,Paid,ord150
P151,QR Payment,2026-03-01 15:02:00,496.07,Paid,ord151
P152,Cash,2026-03-24 11:30:55,256.14,Pending,ord152
P153,Cash,2026-03-01 15:06:00,224.74,Paid,ord153
P154,QR Payment,2026-03-01 15:08:00,314,Paid,ord154
P155,Credit Card,2026-03-24 11:30:55,478.52,Pending,ord155
P156,Credit Card,2026-03-01 15:12:00,0,Failed,ord156
P157,Credit Card,2026-03-01 15:14:00,445.97,Paid,ord157
P158,QR Payment,2026-03-24 11:30:55,127.92,Pending,ord158
P159,Credit Card,2026-03-01 15:18:00,140.45,Paid,ord159
P160,Credit Card,2026-03-01 15:20:00,0,Paid,ord160
P161,Credit Card,2026-03-01 15:22:00,390.15,Paid,ord161
P162,Credit Card,2026-03-01 15:24:00,84.58,Paid,ord162
P163,Credit Card,2026-03-01 15:26:00,0,Failed,ord163
P164,Credit Card,2026-03-01 15:28:00,217.01,Paid,ord164
P165,QR Payment,2026-03-01 15:30:00,253.81,Paid,ord165
P166,Credit Card,2026-03-01 15:32:00,175.04,Paid,ord166
P167,QR Payment,2026-03-01 15:34:00,197.87,Paid,ord167
P168,Credit Card,2026-03-01 15:36:00,236.43,Paid,ord168
P169,QR Payment,2026-03-01 15:38:00,0,Failed,ord169
P170,QR Payment,2026-03-01 15:40:00,254.55,Paid,ord170
P171,Credit Card,2026-03-01 15:42:00,0,Failed,ord171
P172,Cash,2026-03-01 15:44:00,0,Paid,ord172
P173,QR Payment,2026-03-24 11:30:55,168.57,Pending,ord173
P174,Credit Card,2026-03-01 15:48:00,0,Failed,ord174
P175,Cash,2026-03-01 15:50:00,68.47,Paid,ord175
P176,Cash,2026-03-24 11:30:55,70.75,Pending,ord176
P177,Credit Card,2026-03-01 15:54:00,170.32,Paid,ord177
P178,Credit Card,2026-03-24 11:30:55,236.42,Pending,ord178
P179,QR Payment,2026-03-01 15:58:00,514.42,Paid,ord179
P180,QR Payment,2026-03-01 16:00:00,0,Failed,ord180
P181,Cash,2026-03-01 16:02:00,479.24,Paid,ord181
P182,Credit Card,2026-03-01 16:04:00,124.06,Paid,ord182
P183,QR Payment,2026-03-01 16:06:00,125.44,Paid,ord183
P184,QR Payment,2026-03-01 16:08:00,305.11,Paid,ord184
P185,Cash,2026-03-01 16:10:00,281.97,Paid,ord185
P186,QR Payment,2026-03-01 16:12:00,501.86,Paid,ord186
P187,Credit Card,2026-03-01 16:14:00,150.01,Paid,ord187
P188,Cash,2026-03-24 11:30:55,157.13,Pending,ord188
P189,Cash,2026-03-01 16:18:00,364.24,Paid,ord189
P190,Cash,2026-03-01 16:20:00,44.52,Paid,ord190
P191,Credit Card,2026-03-01 16:22:00,133.54,Paid,ord191
P192,Cash,2026-03-24 11:30:55,452.53,Pending,ord192
P193,Credit Card,2026-03-01 16:26:00,486.61,Paid,ord193
P194,Cash,2026-03-01 16:28:00,66.85,Paid,ord194
P195,Cash,2026-03-01 16:30:00,182.38,Paid,ord195
P196,Cash,2026-03-24 11:30:55,45.26,Pending,ord196
P197,Cash,2026-03-01 16:34:00,0,Paid,ord197
P198,QR Payment,2026-03-01 16:36:00,245.98,Paid,ord198
P199,Cash,2026-03-24 11:30:55,354.17,Pending,ord199
P200,Cash,2026-03-01 16:40:00,420.08,Paid,ord200
P201,Cash,2026-03-01 16:42:00,211.23,Paid,ord201
P202,Cash,2026-03-01 16:44:00,94.05,Paid,ord202
P203,Credit Card,2026-03-01 16:46:00,0,Failed,ord203
P204,Credit Card,2026-03-24 11:30:55,122.8,Pending,ord204
P205,QR Payment,2026-03-01 16:50:00,0,Paid,ord205
P206,Cash,2026-03-01 16:52:00,0,Paid,ord206
P207,QR Payment,2026-03-01 16:54:00,448.43,Paid,ord207
P208,QR Payment,2026-03-01 16:56:00,204.98,Paid,ord208
P209,Cash,2026-03-01 16:58:00,442.28,Paid,ord209
P210,Cash,2026-03-24 11:30:55,135.36,Pending,ord210
P211,Credit Card,2026-03-01 17:02:00,419.82,Paid,ord211
P212,Cash,2026-03-01 17:04:00,369.16,Paid,ord212
P213,QR Payment,2026-03-01 17:06:00,290.25,Paid,ord213
P214,Cash,2026-03-01 17:08:00,0,Failed,ord214
P215,Credit Card,2026-03-01 17:10:00,111.66,Paid,ord215
P216,Cash,2026-03-01 17:12:00,0,Failed,ord216
P217,Credit Card,2026-03-01 17:14:00,106.06,Paid,ord217
P218,QR Payment,2026-03-01 17:16:00,508.07,Paid,ord218
P219,Cash,2026-03-01 17:18:00,123.74,Paid,ord219
P220,QR Payment,2026-03-01 17:20:00,43.44,Paid,ord220
P221,Cash,2026-03-01 17:22:00,220.31,Paid,ord221
P222,Credit Card,2026-03-01 17:24:00,106.16,Paid,ord222
P223,Cash,2026-03-01 17:26:00,375.67,Paid,ord223
P224,QR Payment,2026-03-01 17:28:00,0,Failed,ord224
P225,Cash,2026-03-01 17:30:00,410.98,Paid,ord225
P226,QR Payment,2026-03-24 11:30:55,0,Pending,ord226
P227,Cash,2026-03-01 17:34:00,438.54,Paid,ord227
P228,Cash,2026-03-01 17:36:00,263.2,Paid,ord228
P229,Credit Card,2026-03-01 17:38:00,510.4,Paid,ord229
P230,Credit Card,2026-03-01 17:40:00,191.12,Paid,ord230
P231,Credit Card,2026-03-01 17:42:00,251.89,Paid,ord231
P232,QR Payment,2026-03-01 17:44:00,264.95,Paid,ord232
P233,Credit Card,2026-03-01 17:46:00,0,Paid,ord233
P234,QR Payment,2026-03-01 17:48:00,340.35,Paid,ord234
P235,Cash,2026-03-01 17:50:00,478.17,Paid,ord235
P236,QR Payment,2026-03-24 11:30:55,51.48,Pending,ord236
P237,QR Payment,2026-03-01 17:54:00,63.82,Paid,ord237
P238,QR Payment,2026-03-24 11:30:55,132.42,Pending,ord238
P239,QR Payment,2026-03-01 17:58:00,0,Paid,ord239
P240,Credit Card,2026-03-01 18:00:00,235.98,Paid,ord240
P241,Cash,2026-03-24 11:30:55,440.4,Pending,ord241
P242,Credit Card,2026-03-01 18:04:00,93.87,Paid,ord242
P243,QR Payment,2026-03-01 18:06:00,221.57,Paid,ord243
P244,Credit Card,2026-03-01 18:08:00,398.36,Paid,ord244
P245,Credit Card,2026-03-01 18:10:00,0,Failed,ord245
P246,QR Payment,2026-03-01 18:12:00,0,Paid,ord246
P247,QR Payment,2026-03-01 18:14:00,0,Failed,ord247
P248,QR Payment,2026-03-01 18:16:00,0,Failed,ord248
P249,Credit Card,2026-03-01 18:18:00,474.26,Paid,ord249
P250,Credit Card,2026-03-01 18:20:00,73.56,Paid,ord250
P251,Cash,2026-03-01 18:22:00,411.02,Paid,ord251
P252,Credit Card,2026-03-01 18:24:00,422.2,Paid,ord252
P253,Credit Card,2026-03-01 18:26:00,276.86,Paid,ord253
P254,Cash,2026-03-24 11:30:55,339.23,Pending,ord254
P255,Cash,2026-03-01 18:30:00,352.39,Paid,ord255
P256,Credit Card,2026-03-01 18:32:00,211.04,Paid,ord256
P257,QR Payment,2026-03-01 18:34:00,491.15,Paid,ord257
P258,QR Payment,2026-03-01 18:36:00,293.98,Paid,ord258
P259,Cash,2026-03-01 18:38:00,207.65,Paid,ord259
P260,Credit Card,2026-03-24 11:30:55,230.59,Pending,ord260
P261,QR Payment,2026-03-01 18:42:00,492.89,Paid,ord261
P262,Credit Card,2026-03-01 18:44:00,156.99,Paid,ord262
P263,QR Payment,2026-03-01 18:46:00,146.67,Paid,ord263
P264,Credit Card,2026-03-01 18:48:00,273.93,Paid,ord264
P265,QR Payment,2026-03-01 18:50:00,354.01,Paid,ord265
P266,QR Payment,2026-03-24 11:30:55,359.13,Pending,ord266
P267,Credit Card,2026-03-01 18:54:00,181.15,Paid,ord267
P268,Credit Card,2026-03-01 18:56:00,0,Failed,ord268
P269,Credit Card,2026-03-01 18:58:00,41.31,Paid,ord269
P270,QR Payment,2026-03-01 19:00:00,191.79,Paid,ord270
P271,Credit Card,2026-03-01 19:02:00,0,Paid,ord271
P272,QR Payment,2026-03-01 19:04:00,380.07,Paid,ord272
P273,QR Payment,2026-03-01 19:06:00,187.36,Paid,ord273
P274,QR Payment,2026-03-01 19:08:00,502.71,Paid,ord274
P275,Cash,2026-03-01 19:10:00,377.54,Paid,ord275
P276,QR Payment,2026-03-01 19:12:00,281.7,Paid,ord276
P277,Credit Card,2026-03-24 11:30:55,442.49,Pending,ord277
P278,Credit Card,2026-03-01 19:16:00,482.63,Paid,ord278
