purchase_id,purchase_date,total_cost,purchase_status,staff_id,supplier_id
PO0001,2026-01-01,1250.00,Cancelled,10040,sup1009
PO0002,2026-01-02,1000.00,Cancelled,10038,sup1009
PO0003,2026-01-03,3500.00,Pending,10040,sup1013
PO0004,2026-01-04,1500.00,Completed,10002,sup1010
PO0005,2026-01-05,6000.00,Cancelled,10038,sup1011
PO0006,2026-01-06,3250.00,Cancelled,10002,sup1014
PO0007,2026-01-07,5750.00,Pending,10032,sup1001
PO0008,2026-01-08,3500.00,Cancelled,10014,sup1006
PO0009,2026-01-09,5750.00,Pending,10026,sup1001
PO0010,2026-01-10,2750.00,Completed,10040,sup1003
PO0011,2026-01-11,3250.00,Completed,10040,sup1006
PO0012,2026-01-12,2750.00,Pending,10040,sup1005
PO0013,2026-01-13,4750.00,Completed,10038,sup1007
PO0014,2026-01-14,5500.00,Cancelled,10014,sup1015
PO0015,2026-01-15,5250.00,Pending,10026,sup1001
PO0016,2026-01-16,6000.00,Cancelled,10038,sup1009
PO0017,2026-01-17,5000.00,Cancelled,10032,sup1013
PO0018,2026-01-18,5500.00,Completed,10014,sup1002
PO0019,2026-01-19,5500.00,Completed,10020,sup1005
PO0020,2026-01-20,5250.00,Pending,10002,sup1006
PO0021,2026-01-21,6000.00,Cancelled,10014,sup1006
PO0022,2026-01-22,3250.00,Completed,10020,sup1009
PO0023,2026-01-23,3750.00,Pending,10014,sup1013
PO0024,2026-01-24,3000.00,Completed,10038,sup1001
PO0025,2026-01-25,4250.00,Completed,10026,sup1002
PO0026,2026-01-26,3000.00,Cancelled,10014,sup1009
PO0027,2026-01-27,4000.00,Pending,10008,sup1011
PO0028,2026-01-28,3250.00,Cancelled,10014,sup1009
PO0029,2026-01-29,6000.00,Cancelled,10040,sup1006
PO0030,2026-01-30,2000.00,Cancelled,10002,sup1010
PO0031,2026-01-31,2500.00,Cancelled,10002,sup1004
PO0032,2026-02-01,5250.00,Pending,10008,sup1004
PO0033,2026-02-02,3750.00,Completed,10020,sup1005
PO0034,2026-02-03,4250.00,Pending,10026,sup1002
PO0035,2026-02-04,5500.00,Pending,10026,sup1008
PO0036,2026-02-05,5000.00,Completed,10014,sup1006
PO0037,2026-02-06,2000.00,Cancelled,10008,sup1004
PO0038,2026-02-07,1500.00,Completed,10032,sup1003
PO0039,2026-02-08,2500.00,Completed,10008,sup1007
PO0040,2026-02-09,2250.00,Pending,10020,sup1001
PO0041,2026-02-10,5750.00,Completed,10002,sup1004
PO0042,2026-02-11,2750.00,Pending,10002,sup1011
PO0043,2026-02-12,5000.00,Pending,10038,sup1011
PO0044,2026-02-13,5000.00,Cancelled,10008,sup1015
PO0045,2026-02-14,1750.00,Completed,10032,sup1015
PO0046,2026-02-15,4250.00,Pending,10020,sup1015
PO0047,2026-02-16,4000.00,Completed,10040,sup1005
PO0048,2026-02-17,5500.00,Completed,10008,sup1006
PO0049,2026-02-18,1750.00,Pending,10026,sup1002
PO0050,2026-02-19,2000.00,Pending,10040,sup1014
PO0051,2026-02-20,4750.00,Pending,10002,sup1002
PO0052,2026-02-21,4750.00,Completed,10032,sup1011
PO0053,2026-02-22,5750.00,Cancelled,10032,sup1011
PO0054,2026-02-23,2250.00,Pending,10026,sup1007
PO0055,2026-02-24,1000.00,Pending,10014,sup1005
PO0056,2026-02-25,3250.00,Cancelled,10040,sup1015
PO0057,2026-02-26,4500.00,Cancelled,10002,sup1002
PO0058,2026-02-27,4500.00,Cancelled,10014,sup1010
PO0059,2026-02-28,4000.00,Pending,10008,sup1009
PO0060,2026-03-01,5250.00,Pending,10032,sup1011
PO0061,2026-03-02,2750.00,Pending,10008,sup1002
PO0062,2026-03-03,5750.00,Pending,10038,sup1001
PO0063,2026-03-04,3750.00,Cancelled,10038,sup1008
PO0064,2026-03-05,4500.00,Completed,10032,sup1004
PO0065,2026-03-06,5500.00,Completed,10032,sup1006
PO0066,2026-03-07,5250.00,Cancelled,10032,sup1014
PO0067,2026-03-08,5250.00,Completed,10014,sup1008
PO0068,2026-03-09,1250.00,Pending,10014,sup1007
PO0069,2026-03-10,2250.00,Completed,10038,sup1013
PO0070,2026-03-11,3500.00,Cancelled,10020,sup1011
PO0071,2026-03-12,1250.00,Completed,10026,sup1015
PO0072,2026-03-13,1500.00,Completed,10038,sup1007
PO0073,2026-03-14,5250.00,Cancelled,10026,sup1005
PO0074,2026-03-15,5750.00,Pending,10020,sup1004
PO0075,2026-03-16,5500.00,Cancelled,10002,sup1012
PO0076,2026-03-17,4250.00,Completed,10040,sup1003
PO0077,2026-03-18,1000.00,Pending,10026,sup1011
PO0078,2026-03-19,2500.00,Completed,10002,sup1011
PO0079,2026-03-20,4500.00,Pending,10020,sup1003
PO0080,2026-03-21,6000.00,Cancelled,10040,sup1009
PO0081,2026-03-22,6000.00,Pending,10038,sup1008
PO0082,2026-03-23,5750.00,Cancelled,10020,sup1014
PO0083,2026-03-24,2500.00,Cancelled,10002,sup1012
PO0084,2026-03-25,1250.00,Pending,10038,sup1014
PO0085,2026-03-26,1750.00,Cancelled,10014,sup1005
PO0086,2026-03-27,5750.00,Cancelled,10014,sup1003
PO0087,2026-03-28,3750.00,Cancelled,10020,sup1012
PO0088,2026-03-29,1500.00,Pending,10020,sup1010
PO0089,2026-03-30,4250.00,Completed,10038,sup1003
PO0090,2026-03-31,1000.00,Pending,10040,sup1014
PO0091,2026-04-01,1500.00,Pending,10014,sup1002
PO0092,2026-04-02,3750.00,Cancelled,10014,sup1003
PO0093,2026-04-03,2750.00,Completed,10040,sup1013
PO0094,2026-04-04,4000.00,Completed,10014,sup1012
PO0095,2026-04-05,2250.00,Completed,10002,sup1010
PO0096,2026-04-06,3000.00,Cancelled,10040,sup1015
PO0097,2026-04-07,4750.00,Completed,10002,sup1013
PO0098,2026-04-08,1750.00,Pending,10008,sup1014
PO0099,2026-04-09,1750.00,Pending,10032,sup1010
PO0100,2026-04-10,3250.00,Completed,10020,sup1004
PO0101,2026-04-11,5250.00,Pending,10026,sup1006
PO0102,2026-04-12,5250.00,Cancelled,10014,sup1009
PO0103,2026-04-13,2000.00,Completed,10008,sup1001
PO0104,2026-04-14,5000.00,Completed,10020,sup1006
PO0105,2026-04-15,3500.00,Completed,10026,sup1002
PO0106,2026-04-16,4000.00,Completed,10014,sup1002
PO0107,2026-04-17,3750.00,Pending,10026,sup1014
PO0108,2026-04-18,2000.00,Cancelled,10008,sup1006
PO0109,2026-04-19,3750.00,Pending,10014,sup1011
PO0110,2026-04-20,3500.00,Cancelled,10014,sup1005
PO0111,2026-04-21,5000.00,Cancelled,10008,sup1004
PO0112,2026-04-22,5000.00,Completed,10026,sup1012
PO0113,2026-04-23,4750.00,Completed,10008,sup1003
PO0114,2026-04-24,6000.00,Completed,10008,sup1008
PO0115,2026-04-25,3750.00,Pending,10032,sup1015
PO0116,2026-04-26,3500.00,Cancelled,10040,sup1014
PO0117,2026-04-27,1250.00,Cancelled,10020,sup1003
PO0118,2026-04-28,5250.00,Pending,10014,sup1002
PO0119,2026-04-29,6000.00,Pending,10032,sup1009
PO0120,2026-04-30,3500.00,Pending,10038,sup1012
PO0121,2026-05-01,4750.00,Pending,10038,sup1014
PO0122,2026-05-02,5000.00,Pending,10026,sup1001
PO0123,2026-05-03,1250.00,Pending,10026,sup1002
PO0124,2026-05-04,4500.00,Completed,10014,sup1015
PO0125,2026-05-05,2250.00,Pending,10020,sup1008
PO0126,2026-05-06,3500.00,Pending,10040,sup1001
PO0127,2026-05-07,3250.00,Cancelled,10032,sup1012
PO0128,2026-05-08,1750.00,Completed,10032,sup1005
