purchase_detail_id,quantity,unit_cost,purchase_id,ingredient_id
PD00001,29,273.72,PO0002,ing0002
PD00002,7,24.11,PO0003,ing0003
PD00003,3,235.39,PO0004,ing0004
PD00004,1,78.15,PO0005,ing0005
PD00005,10,129.53,PO0006,ing0006
PD00006,3,265.02,PO0007,ing0007
PD00007,30,286.55,PO0008,ing0008
PD00008,29,268.91,PO0009,ing0009
PD00009,16,251.5,PO0010,ing0010
PD00010,12,226.56,PO0011,ing0011
PD00011,12,265.73,PO0012,ing0012
PD00012,3,173.62,PO0013,ing0013
PD00013,15,152.99,PO0014,ing0014
PD00014,30,20.9,PO0015,ing0015
PD00015,28,226.99,PO0016,ing0016
PD00016,30,57.76,PO0017,ing0017
PD00017,25,177.02,PO0018,ing0018
PD00018,27,49.26,PO0019,ing0019
PD00019,5,252.46,PO0020,ing0020
PD00020,26,72.18,PO0021,ing0021
PD00021,15,60.98,PO0022,ing0022
PD00022,20,54.44,PO0023,ing0023
PD00023,9,118.27,PO0024,ing0024
PD00024,12,175.82,PO0025,ing0025
PD00025,17,185.46,PO0026,ing0026
PD00026,1,98.97,PO0027,ing0027
PD00027,18,192.47,PO0028,ing0028
PD00028,15,294.52,PO0029,ing0029
PD00029,14,81.65,PO0030,ing0030
PD00030,4,171.26,PO0031,ing0031
PD00031,30,187.62,PO0032,ing0032
PD00032,4,98.13,PO0033,ing0033
PD00033,1,155.37,PO0034,ing0034
PD00034,13,284.11,PO0035,ing0035
PD00035,26,146.1,PO0036,ing0036
PD00036,17,65.28,PO0037,ing0037
PD00037,13,160.25,PO0038,ing0038
PD00038,11,202.19,PO0039,ing0039
PD00039,17,123,PO0040,ing0040
PD00040,2,283.01,PO0041,ing0041
PD00041,1,138.05,PO0042,ing0042
PD00042,12,120.14,PO0043,ing0043
PD00043,6,132.79,PO0044,ing0044
PD00044,24,134.54,PO0045,ing0045
PD00045,6,157.78,PO0046,ing0046
PD00046,1,107.87,PO0047,ing0047
PD00047,10,156.17,PO0048,ing0048
PD00048,25,34.78,PO0049,ing0049
PD00049,14,284.89,PO0050,ing0050
PD00050,8,133.57,PO0051,ing0051
PD00051,17,184.94,PO0052,ing0052
PD00052,16,259.51,PO0053,ing0053
PD00053,1,157.12,PO0054,ing0054
PD00054,29,76.5,PO0055,ing0055
PD00055,14,77.68,PO0056,ing0056
PD00056,4,192.86,PO0057,ing0057
PD00057,24,33.78,PO0058,ing0058
PD00058,23,170.94,PO0059,ing0059
PD00059,27,141.25,PO0060,ing0060
PD00060,7,260.14,PO0061,ing0061
PD00061,22,188.74,PO0062,ing0062
PD00062,19,285.02,PO0063,ing0063
PD00063,24,95.89,PO0064,ing0064
PD00064,25,275.92,PO0065,ing0065
PD00065,17,89.56,PO0066,ing0066
PD00066,18,132.28,PO0067,ing0067
PD00067,28,234.81,PO0068,ing0068
PD00068,9,46.64,PO0069,ing0069
PD00069,28,73.04,PO0070,ing0070
PD00070,17,253.46,PO0071,ing0071
PD00071,30,190.29,PO0072,ing0072
PD00072,12,150.22,PO0073,ing0073
PD00073,7,231.12,PO0074,ing0074
PD00074,28,63.79,PO0075,ing0075
PD00075,28,132.47,PO0076,ing0076
PD00076,1,161.16,PO0077,ing0077
PD00077,26,52.83,PO0078,ing0078
PD00078,26,89.41,PO0079,ing0079
PD00079,5,224.93,PO0080,ing0080
