supplier_id,ingredient_id,supplier_price,lead_time_days,is_preferred
sup1001,ing0067,178.01,2,1
sup1013,ing0073,113.69,5,0
sup1014,ing0122,268.88,1,0
sup1007,ing0023,67.3,2,1
sup1014,ing0062,278.63,3,0
sup1011,ing0066,83.64,3,0
sup1008,ing0028,150.94,1,1
sup1014,ing0042,50.01,1,0
sup1009,ing0125,255.1,5,0
sup1001,ing0096,156.41,4,0
sup1010,ing0044,207.65,1,1
sup1008,ing0016,196.97,2,1
sup1003,ing0091,87.4,4,0
sup1013,ing0023,173.8,2,1
sup1008,ing0055,55.52,1,0
sup1005,ing0002,84.1,5,1
sup1011,ing0008,255.76,5,0
sup1007,ing0123,258.41,4,0
sup1007,ing0113,259.88,2,0
sup1002,ing0022,115.96,3,1
sup1007,ing0004,253.8,2,1
sup1005,ing0041,117.94,2,0
sup1010,ing0083,45,1,1
sup1003,ing0115,243.97,4,0
sup1006,ing0101,40.17,4,0
sup1011,ing0064,247.31,1,0
sup1012,ing0097,163.98,5,0
sup1009,ing0077,100.89,4,1
sup1007,ing0062,218.37,2,1
sup1009,ing0066,46.87,3,1
sup1015,ing0112,26.07,4,1
sup1006,ing0097,78.5,4,0
sup1012,ing0009,168.68,5,0
sup1014,ing0112,251.11,3,0
sup1001,ing0124,104.92,5,0
sup1004,ing0075,42.89,4,0
sup1007,ing0015,225.49,4,1
sup1013,ing0025,93.83,3,0
sup1013,ing0074,155.32,5,0
sup1007,ing0001,216.8,2,0
sup1002,ing0065,80.3,5,0
sup1002,ing0067,260.48,4,0
sup1012,ing0023,205.03,3,0
sup1003,ing0048,96.12,2,1
sup1005,ing0071,209.71,3,0
sup1006,ing0032,294.85,5,1
sup1010,ing0100,286.12,1,1
sup1008,ing0009,41.31,1,1
sup1008,ing0014,252.39,2,0
sup1006,ing0062,124.68,5,1
sup1010,ing0058,172.59,3,0
sup1011,ing0098,237.92,3,0
sup1013,ing0040,215.79,3,1
sup1011,ing0014,214.94,3,0
sup1009,ing0063,181.44,4,1
sup1010,ing0112,85.86,2,1
sup1011,ing0057,291.58,5,0
sup1007,ing0008,165.99,3,1
sup1014,ing0003,32.5,3,0
sup1004,ing0029,267.61,5,1
sup1008,ing0036,148.99,1,0
sup1010,ing0073,199.27,1,0
sup1008,ing0045,14.87,4,0
sup1011,ing0041,256.48,4,0
sup1002,ing0046,50.12,4,1
sup1003,ing0055,68.79,3,0
sup1008,ing0023,32.7,2,1
sup1003,ing0102,232.34,3,1
sup1013,ing0085,100.56,1,1
sup1015,ing0071,243.14,4,0
sup1014,ing0064,169.35,5,1
sup1010,ing0066,205.74,3,0
sup1015,ing0085,191.84,3,0
sup1013,ing0022,109.24,3,0
sup1003,ing0094,32.18,2,0
sup1005,ing0093,249.09,2,1
sup1010,ing0006,67.72,1,0
sup1002,ing0097,249.75,2,1
